Name,Developer,Publisher,Year of Launch,Tags
The Legend of Zelda: Breath of the Wild,Nintendo EPD,Nintendo,2017,Action-Adventure;Open World;Fantasy
The Witcher 3: Wild Hunt,CD Projekt Red,CD Projekt,2015,Action RPG;Open World;Fantasy
Red Dead Redemption 2,Rockstar Games,Rockstar Games,2018,Action-Adventure;Open World;Western
Minecraft,Mojang Studios,Mojang Studios,2011,Sandbox;Survival;Creative
God of War (2018),Santa Monica Studio,Sony Interactive Entertainment,2018,Action-Adventure;Mythology;Hack and Slash
Grand Theft Auto V,Rockstar North,Rockstar Games,2013,Action-Adventure;Open World;Crime
Dark Souls III,FromSoftware,Bandai Namco Entertainment,2016,Action RPG;Dark Fantasy;Challenging
Fortnite,Epic Games,Epic Games,2017,Battle Royale;Shooter;Multiplayer
Overwatch,Blizzard Entertainment,Blizzard Entertainment,2016,First-Person Shooter;Team-Based;Multiplayer
Hades,Supergiant Games,Supergiant Games,2020,Roguelike;Action;Mythology
Animal Crossing: New Horizons,Nintendo EPD,Nintendo,2020,Simulation;Life;Casual
Cyberpunk 2077,CD Projekt Red,CD Projekt,2020,Action RPG;Open World;Sci-Fi
Celeste,Matt Makes Games,Matt Makes Games,2018,Platformer;Indie;Challenging
Hollow Knight,Team Cherry,Team Cherry,2017,Metroidvania;Indie;Action-Adventure
Among Us,InnerSloth,InnerSloth,2018,Party;Multiplayer;Social Deduction
Doom Eternal,id Software,Bethesda Softworks,2020,First-Person Shooter;Action;Fast-Paced
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,2011,Action RPG;Open World;Fantasy
Stardew Valley,ConcernedApe,ConcernedApe,2016,Simulation;Farming;Indie
Assassin's Creed Valhalla,Ubisoft Montreal,Ubisoft,2020,Action RPG;Open World;Historical
Persona 5,RPG Studio,Atlus,2016,JRPG;Turn-Based;Story-Driven
League of Legends,Riot Games,Riot Games,2009,MOBA;Competitive;Multiplayer
Counter-Strike: Global Offensive,Valve,Valve,2012,First-Person Shooter;Competitive;Multiplayer
FIFA 23,EA Sports,Electronic Arts,2022,Sports;Football;Simulation
Call of Duty: Modern Warfare II (2022),Infinity Ward,Activision,2022,First-Person Shooter;Military;Multiplayer
The Sims 4,Maxis,Electronic Arts,2014,Simulation;Life;Sandbox
Diablo III,Blizzard Entertainment,Blizzard Entertainment,2012,Action RPG;Hack and Slash;Fantasy
Mass Effect Legendary Edition,BioWare,Electronic Arts,2021,Action RPG;Sci-Fi;Story-Driven
Final Fantasy VII Remake,Square Enix,Square Enix,2020,JRPG;Action;Fantasy
Fall Guys: Ultimate Knockout,Mediatonic,Devolver Digital,2020,Party;Platformer;Multiplayer
Apex Legends,Respawn Entertainment,Electronic Arts,2019,Battle Royale;Shooter;Multiplayer
